IncrementalTicker,TickerCount,TickerLookup,Ticker,Date,DateCode,Currency,Conversion,Filing,Year,IQ_TOTAL_REV,GrowthRate_YoY_Revenue,IQ_COST_REV,Variable_Margin,IQ_EBITDA,GrowthRate_YoY_EBITDA,EBITDA_Margin,IQ_DA_CF,Step,DandA_PercentofCapEx,IQ_CAPEX,CapEx_Margin,EBIT,GrowthRate_YoY_EBIT,EBIT_Margin,TaxRate,Taxes,NetIncome,IQ_SALE_INTAN_CF,IQ_CHANGE_NET_OPER_ASSETS,WorkingCapitalMargin,FreeCashFlow
3,35,ACWI!A5,INDA,43578,,USD,Historical,Latest Fully Reported,1,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.036205213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,#DIV/0!,0.592031,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
3,36,ACWI!A5,INDA,43578,,USD,Historical,Latest Fully Reported,2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.036205213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,#DIV/0!,0.592031,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
3,37,ACWI!A5,INDA,43578,,USD,Historical,Latest Fully Reported,3,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.036205213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,#DIV/0!,0.592031,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
3,38,ACWI!A5,INDA,43578,,USD,Historical,Latest Fully Reported,4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.036205213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,#DIV/0!,0.592031,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
3,39,ACWI!A5,INDA,43578,,USD,Historical,Latest Fully Reported,5,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.036205213,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,NA,#DIV/0!,0.592031,#DIV/0!,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!
4,40,ACWI!A6,FB,43578,996,USD,Historical,Latest Fully Reported,2014,12466,,2153,0.827290229,6237,,0.500320873,1243,,-0.678864009,-1831,-0.146879512,4994,,0.400609658,0.592031,-2956.602814,2037.397186,0,-262,-0.021017167,1187.397186
4,41,ACWI!A6,FB,43578,997,USD,Historical,Latest Fully Reported,2015,17928,0.438151773,2867,0.840082552,8170,0.309924643,0.455711736,1945,,-0.77090765,-2523,-0.140729585,6225,0.246495795,0.347222222,0.592031,-3685.392975,2539.607025,0,784,0.043730477,2745.607025
4,42,ACWI!A6,FB,43578,998,USD,Historical,Latest Fully Reported,2016,27638,0.541610888,3789,0.862906144,14769,0.807711138,0.534372965,2342,,-0.521487419,-4491,-0.162493668,12427,0.996305221,0.449634561,0.592031,-7357.169237,5069.830763,0,758,0.027426008,3678.830763
4,43,ACWI!A6,FB,43578,999,USD,Historical,Latest Fully Reported,2017,40653,0.470909617,5454,0.865840159,23228,0.572753741,0.571372346,3025,,-0.449279667,-6733,-0.165621233,20203,0.625734288,0.496962094,0.592031,-11960.80229,8242.197707,0,1887,0.046417239,6421.197707
4,44,ACWI!A6,FB,43578,1000,USD,Historical,Latest Fully Reported,2018,55838,0.373527169,9355,0.832461764,29228,0.258308937,0.523442817,4315,,-0.310097018,-13915,-0.249203052,24913,0.233133693,0.446165694,0.592031,-14749.2683,10163.7317,0,-1527,-0.027346968,-963.268303
4,45,ACWI!A6,FB,43578,,USD,Historical,Latest Fully Reported,2019,81302.91218,0.456049862,13621.34646,0.832461764,42557.42536,0.456049862,0.523442817,4870.469928,0.036205213,-0.346302231,-14064.21761,-0.17298541,37686.95543,0.512742561,0.463537583,0.592031,-22311.84591,15375.10952,0,1125.388227,0.013841918,7306.75007
4,46,ACWI!A6,FB,43578,,USD,Historical,Latest Fully Reported,2020,118381.094,0.456049862,19833.35962,0.832461764,61965.73331,0.456049862,0.523442817,7833.064733,0.036205213,-0.382507444,-20478.2021,-0.17298541,54132.66858,0.436376804,0.45727461,0.592031,-32048.21791,22084.45067,0,1638.621373,0.013841918,11077.93467
4,47,ACWI!A6,FB,43578,,USD,Historical,Latest Fully Reported,2021,172368.7756,0.456049862,28878.36054,0.832461764,90225.19742,0.456049862,0.523442817,12484.87391,0.036205213,-0.418712656,-29817.28334,-0.17298541,77740.32351,0.436107355,0.451011636,0.592031,-46024.68147,31715.64204,0,2385.914424,0.013841918,16769.14704
4,48,ACWI!A6,FB,43578,,USD,Historical,Latest Fully Reported,2022,250977.5319,0.456049862,42048.33287,0.832461764,131372.3862,0.456049862,0.523442817,19750.4646,0.036205213,-0.454917869,-43415.45128,-0.17298541,111621.9216,0.435830424,0.444748663,0.592031,-66083.63789,45538.28375,0,3474.010367,0.013841918,25347.30743
4,49,ACWI!A6,FB,43578,,USD,Historical,Latest Fully Reported,2023,365435.8006,0.456049862,61224.46926,0.832461764,191284.7448,0.456049862,0.523442817,31046.37602,0.036205213,-0.491123082,-63215.06183,-0.17298541,160238.3688,0.435545692,0.438485689,0.592031,-94866.08171,65372.28708,0,5058.332314,0.013841918,38261.93358
5,50,ACWI!A7,GOOG,43578,996,USD,Historical,Latest Fully Reported,2014,66001,,25313,0.616475508,21475,,0.325373858,4601,,-0.417741057,-11014,-0.166876259,16874,,0.255662793,0.592031,-9989.931094,6884.068906,0,672,0.010181664,1143.068906
5,51,ACWI!A7,GOOG,43578,997,USD,Historical,Latest Fully Reported,2015,74989,0.136179755,28164,0.624424916,24384,0.135459837,0.325167691,5024,,-0.504924623,-9950,-0.132686127,19360,0.147327249,0.258171198,0.592031,-11461.72016,7898.27984,0,-409,-0.005454133,2563.27984
5,52,ACWI!A7,GOOG,43578,998,USD,Historical,Latest Fully Reported,2016,90272,0.203803224,35138,0.610754165,29816,0.222769029,0.330290677,6100,,-0.597336467,-10212,-0.113124778,23716,0.225,0.262717122,0.592031,-14040.6072,9675.392804,0,3300,0.036556186,8863.392804
5,53,ACWI!A7,GOOG,43578,999,USD,Historical,Latest Fully Reported,2017,110855,0.2280109,45583,0.588805196,35781,0.20006037,0.322772992,6899,,-0.523285801,-13184,-0.118930134,28882,0.217827627,0.260538541,0.592031,-17099.03934,11782.96066,0,9246,0.083406251,14743.96066
5,54,ACWI!A7,GOOG,43578,1000,USD,Historical,Latest Fully Reported,2018,136819,0.234215868,59549,0.564760742,40421,0.129677762,0.295434114,9029,,-0.359163053,-25139,-0.183739101,31392,0.086905339,0.229441817,0.592031,-18585.03715,12806.96285,0,4908,0.035872211,1604.962848
5,55,ACWI!A7,GOOG,43578,,USD,Historical,Latest Fully Reported,2019,164258.3839,0.200552437,71491.69706,0.564760742,48527.53005,0.200552437,0.295434114,9291.414103,0.036205213,-0.395368266,-23500.65722,-0.14307128,39236.11595,0.249876272,0.23886827,0.592031,-23228.99696,16007.11899,0,5274.736791,0.032112436,7072.612661
5,56,ACWI!A7,GOOG,43578,,USD,Historical,Latest Fully Reported,2020,197200.803,0.200552437,85829.53112,0.564760742,58259.84445,0.200552437,0.295434114,12176.31544,0.036205213,-0.431573479,-28213.77129,-0.14307128,46083.52901,0.174518117,0.233688344,0.592031,-27282.87776,18800.65125,0,6332.598108,0.032112436,9095.793505
5,57,ACWI!A7,GOOG,43578,,USD,Historical,Latest Fully Reported,2021,236749.9046,0.200552437,103042.8527,0.564760742,69943.99823,0.200552437,0.295434114,15844.6522,0.036205213,-0.467778692,-33872.11188,-0.14307128,54099.34603,0.173941041,0.228508417,0.592031,-32028.48993,22070.8561,0,7602.61609,0.032112436,11646.01251
5,58,ACWI!A7,GOOG,43578,,USD,Historical,Latest Fully Reported,2022,284230.6749,0.200552437,123708.3479,0.564760742,83971.43751,0.200552437,0.295434114,20494.62971,0.036205213,-0.503983905,-40665.24645,-0.14307128,63476.8078,0.173337803,0.223328491,0.592031,-37580.238,25896.5698,0,9127.339273,0.032112436,14853.29233
5,59,ACWI!A7,GOOG,43578,,USD,Historical,Latest Fully Reported,2023,341233.8293,0.200552437,148518.3586,0.564760742,100812.1139,0.200552437,0.295434114,26372.44368,0.036205213,-0.540189118,-48820.76072,-0.14307128,74439.67025,0.172706581,0.218148565,0.592031,-44070.59242,30369.07783,0,10957.84941,0.032112436,18878.6102
6,60,ACWI!A8,JPM,43578,996,USD,Historical,Latest Fully Reported,2014,91973,,0,1,NA,,#VALUE!,4759,,#DIV/0!,0,0,#VALUE!,,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-3721,-0.040457526,#VALUE!
6,61,ACWI!A8,JPM,43578,997,USD,Historical,Latest Fully Reported,2015,89202,-0.030128407,0,1,NA,NA,#VALUE!,4940,,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,41007,0.459709424,#VALUE!
6,62,ACWI!A8,JPM,43578,998,USD,Historical,Latest Fully Reported,2016,91208,0.022488285,0,1,NA,NA,#VALUE!,5478,,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-17400,-0.190772739,#VALUE!
6,63,ACWI!A8,JPM,43578,999,USD,Historical,Latest Fully Reported,2017,94745,0.038779493,0,1,NA,NA,#VALUE!,6179,,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-57630,-0.608264288,#VALUE!
6,64,ACWI!A8,JPM,43578,1000,USD,Historical,Latest Fully Reported,2018,103984,0.097514381,0,1,NA,NA,#VALUE!,7791,,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-26994,-0.25959763,#VALUE!
6,65,ACWI!A8,JPM,43578,,USD,Historical,Latest Fully Reported,2019,107328.4829,0.032163438,0,1,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,0.036205213,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-13724.79633,-0.127876552,#VALUE!
6,66,ACWI!A8,JPM,43578,,USD,Historical,Latest Fully Reported,2020,110780.5359,0.032163438,0,1,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,0.036205213,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-14166.23296,-0.127876552,#VALUE!
6,67,ACWI!A8,JPM,43578,,USD,Historical,Latest Fully Reported,2021,114343.6188,0.032163438,0,1,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,0.036205213,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-14621.86772,-0.127876552,#VALUE!
6,68,ACWI!A8,JPM,43578,,USD,Historical,Latest Fully Reported,2022,118021.3027,0.032163438,0,1,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,0.036205213,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-15092.15725,-0.127876552,#VALUE!
6,69,ACWI!A8,JPM,43578,,USD,Historical,Latest Fully Reported,2023,121817.2735,0.032163438,0,1,#VALUE!,#VALUE!,#VALUE!,#DIV/0!,0.036205213,#DIV/0!,0,0,#VALUE!,NA,#VALUE!,0.592031,#VALUE!,#VALUE!,0,-15577.57291,-0.127876552,#VALUE!
